	TIME	1	2	3	4	5	6	7	8	9	10	11	12	19	20	35	36	43	44	45	46	49	Accelerometr_X	Accelerometr_Y	Accelerometr_Z	Gyroscope_X	Gyroscope_Y	Gyroscope_Z	Pressure_on_the_left_leg_0	Pressure_on_the_left_leg_1	Pressure_on_the_left_leg_2	Pressure_on_the_left_leg_3	Pressure_on_the_right_leg_0	Pressure_on_the_right_leg_1	Pressure_on_the_right_leg_2	Pressure_on_the_right_leg_3
	0.006000	0.019897	0.395666	-0.891165	0.326726	-0.006109	0.004538	0.018326	0.400204	-0.891165	0.300546	-0.033685	-0.004538	0.380307	1.251576	0.346622	1.185602	-0.222006	0.171740	-0.045902	-0.059690	0.002967	27.000000	-2.000000	1535.000000	-10.000000	-173.000000	-7219.000000	2182.000000	4090.000000	1635.000000	2076.000000	1348.000000	2022.000000	1183.000000	1657.000000
	0.011000	0.021468	0.395666	-0.889594	0.326726	-0.006109	0.002967	0.018326	0.400204	-0.891165	0.300546	-0.035256	-0.006109	0.380307	1.250179	0.346622	1.185602	-0.222006	0.173311	-0.047473	-0.059690	0.004538	31.000000	8.000000	1496.000000	-11.000000	-174.000000	-7219.000000	2180.000000	4090.000000	1654.000000	2076.000000	1355.000000	2002.000000	1194.000000	1649.000000
	0.016000	0.019897	0.395666	-0.889594	0.326726	-0.006109	0.001396	0.018326	0.400204	-0.889594	0.300546	-0.035256	-0.006109	0.380307	1.248609	0.346622	1.187173	-0.222006	0.171740	-0.049044	-0.059690	0.004538	72.000000	128.000000	1305.000000	-15.000000	-176.000000	-7218.000000	2174.000000	4090.000000	1660.000000	2076.000000	1364.000000	1976.000000	1212.000000	1634.000000
	0.021000	0.021468	0.397237	-0.889594	0.326726	-0.007505	0.001396	0.018326	0.400204	-0.889594	0.302116	-0.032114	-0.006109	0.380307	1.247038	0.348193	1.185602	-0.222006	0.171740	-0.045902	-0.056723	0.004538	-21.000000	221.000000	1311.000000	-19.000000	-172.000000	-7210.000000	2172.000000	4090.000000	1672.000000	2075.000000	1375.000000	1938.000000	1239.000000	1613.000000
	0.026000	0.018326	0.397237	-0.888024	0.326726	-0.007505	0.001396	0.018326	0.400204	-0.888024	0.302116	-0.030543	-0.006109	0.380307	1.247038	0.348193	1.187173	-0.223053	0.171740	-0.047473	-0.058119	0.004538	6.000000	75.000000	1052.000000	-24.000000	-173.000000	-7206.000000	2167.000000	4090.000000	1686.000000	2075.000000	1384.000000	1914.000000	1254.000000	1602.000000
	0.031000	0.019897	0.397237	-0.888024	0.326726	-0.009076	0.001396	0.018326	0.400204	-0.888024	0.302116	-0.030543	-0.006109	0.380307	1.243896	0.349589	1.188744	-0.222006	0.171740	-0.045902	-0.056723	0.004538	-6.000000	50.000000	809.000000	-29.000000	-171.000000	-7203.000000	2174.000000	4090.000000	1697.000000	2074.000000	1389.000000	1901.000000	1264.000000	1596.000000
	0.036000	0.019897	0.398808	-0.888024	0.326726	-0.007505	0.001396	0.016755	0.400204	-0.888024	0.303687	-0.032114	-0.007505	0.378736	1.242500	0.348193	1.190315	-0.222006	0.171740	-0.047473	-0.059690	0.006109	25.000000	61.000000	880.000000	-30.000000	-171.000000	-7202.000000	2172.000000	4090.000000	1703.000000	2074.000000	1388.000000	1904.000000	1266.000000	1597.000000
	0.041000	0.019897	0.398808	-0.888024	0.326726	-0.009076	0.001396	0.018326	0.400204	-0.888024	0.303687	-0.030543	-0.006109	0.380307	1.242500	0.349589	1.191885	-0.223053	0.173311	-0.045902	-0.058119	0.004538	73.000000	22.000000	842.000000	-37.000000	-169.000000	-7195.000000	2180.000000	4090.000000	1700.000000	2073.000000	1384.000000	1906.000000	1265.000000	1602.000000
	0.046000	0.019897	0.398808	-0.888024	0.326726	-0.009076	0.001396	0.016755	0.400204	-0.888024	0.303687	-0.030543	-0.006109	0.378736	1.240929	0.349589	1.193282	-0.222006	0.173311	-0.044331	-0.059690	0.002967	16.000000	125.000000	1009.000000	-41.000000	-168.000000	-7189.000000	2190.000000	4090.000000	1709.000000	2073.000000	1379.000000	1915.000000	1259.000000	1608.000000
	0.051000	0.021468	0.400204	-0.888024	0.326726	-0.010647	0.002967	0.016755	0.400204	-0.888024	0.305258	-0.028972	-0.007505	0.378736	1.239358	0.349589	1.193282	-0.222006	0.173311	-0.047473	-0.062832	0.002967	51.000000	156.000000	1240.000000	-42.000000	-165.000000	-7181.000000	2199.000000	4090.000000	1709.000000	2073.000000	1375.000000	1925.000000	1251.000000	1616.000000
	0.056000	0.019897	0.400204	-0.888024	0.326726	-0.010647	0.002967	0.016755	0.400204	-0.888024	0.305258	-0.028972	-0.006109	0.378736	1.237788	0.349589	1.196423	-0.222006	0.171740	-0.047473	-0.056723	0.004538	44.000000	55.000000	1357.000000	-45.000000	-160.000000	-7170.000000	2205.000000	4090.000000	1712.000000	2074.000000	1371.000000	1934.000000	1244.000000	1622.000000
	0.061000	0.018326	0.400204	-0.888024	0.325155	-0.010647	0.002967	0.018326	0.400204	-0.888024	0.305258	-0.027576	-0.006109	0.378736	1.237788	0.349589	1.196423	-0.223053	0.171740	-0.045902	-0.059690	0.004538	40.000000	28.000000	1277.000000	-43.000000	-156.000000	-7158.000000	2208.000000	4090.000000	1707.000000	2074.000000	1371.000000	1944.000000	1238.000000	1624.000000
	0.066000	0.019897	0.401775	-0.888024	0.325155	-0.010647	0.002967	0.016755	0.400204	-0.889594	0.305258	-0.028972	-0.006109	0.378736	1.236217	0.349589	1.196423	-0.222006	0.171740	-0.047473	-0.058119	0.004538	46.000000	34.000000	1329.000000	-43.000000	-155.000000	-7150.000000	2207.000000	4090.000000	1708.000000	2073.000000	1372.000000	1947.000000	1234.000000	1620.000000
	0.071000	0.019897	0.401775	-0.888024	0.325155	-0.012217	0.002967	0.018326	0.400204	-0.888024	0.305258	-0.027576	-0.006109	0.378736	1.234820	0.349589	1.196423	-0.222006	0.170170	-0.047473	-0.062832	0.004538	144.000000	53.000000	1347.000000	-40.000000	-152.000000	-7143.000000	2204.000000	4090.000000	1701.000000	2073.000000	1378.000000	1948.000000	1231.000000	1615.000000
	0.076000	0.019897	0.401775	-0.888024	0.325155	-0.012217	0.001396	0.018326	0.400204	-0.888024	0.305258	-0.027576	-0.007505	0.378736	1.234820	0.349589	1.197994	-0.223053	0.170170	-0.045902	-0.058119	0.004538	79.000000	7.000000	1257.000000	-39.000000	-151.000000	-7137.000000	2204.000000	4090.000000	1706.000000	2073.000000	1383.000000	1939.000000	1237.000000	1606.000000
	0.081000	0.019897	0.401775	-0.888024	0.323584	-0.012217	0.001396	0.015184	0.400204	-0.889594	0.306654	-0.027576	-0.006109	0.378736	1.234820	0.351160	1.197994	-0.220784	0.171740	-0.047473	-0.055152	0.002967	55.000000	50.000000	1208.000000	-36.000000	-149.000000	-7132.000000	2203.000000	4090.000000	1706.000000	2073.000000	1391.000000	1928.000000	1245.000000	1596.000000
	0.086000	0.019897	0.401775	-0.888024	0.325155	-0.012217	0.001396	0.016755	0.400204	-0.888024	0.305258	-0.027576	-0.007505	0.377340	1.233250	0.351160	1.197994	-0.223053	0.171740	-0.047473	-0.062832	0.004538	93.000000	57.000000	1283.000000	-38.000000	-150.000000	-7126.000000	2204.000000	4090.000000	1708.000000	2073.000000	1394.000000	1924.000000	1248.000000	1594.000000
	0.091000	0.019897	0.401775	-0.888024	0.325155	-0.012217	0.004538	0.016755	0.400204	-0.888024	0.305258	-0.026005	-0.007505	0.378736	1.233250	0.351160	1.197994	-0.222006	0.171740	-0.047473	-0.059690	0.002967	20.000000	121.000000	1305.000000	-38.000000	-149.000000	-7120.000000	2206.000000	4090.000000	1704.000000	2073.000000	1387.000000	1922.000000	1250.000000	1600.000000
	0.096000	0.019897	0.401775	-0.889594	0.323584	-0.012217	0.002967	0.016755	0.398808	-0.888024	0.305258	-0.027576	-0.006109	0.377340	1.233250	0.351160	1.197994	-0.223053	0.171740	-0.049044	-0.062832	0.002967	11.000000	117.000000	1306.000000	-41.000000	-149.000000	-7114.000000	2206.000000	4090.000000	1705.000000	2073.000000	1384.000000	1920.000000	1252.000000	1604.000000
	0.101000	0.019897	0.401775	-0.889594	0.323584	-0.012217	0.004538	0.015184	0.400204	-0.888024	0.305258	-0.028972	-0.007505	0.377340	1.231679	0.351160	1.197994	-0.222006	0.171740	-0.047473	-0.058119	0.004538	94.000000	63.000000	1218.000000	-43.000000	-149.000000	-7108.000000	2208.000000	4090.000000	1711.000000	2073.000000	1377.000000	1921.000000	1252.000000	1611.000000
	0.106000	0.018326	0.401775	-0.889594	0.323584	-0.012217	0.002967	0.015184	0.398808	-0.889594	0.306654	-0.026005	-0.006109	0.377340	1.231679	0.349589	1.197994	-0.222006	0.173311	-0.047473	-0.059690	0.002967	68.000000	58.000000	1287.000000	-47.000000	-151.000000	-7103.000000	2209.000000	4090.000000	1712.000000	2073.000000	1365.000000	1931.000000	1246.000000	1623.000000
	0.111000	0.019897	0.401775	-0.888024	0.323584	-0.013788	0.001396	0.015184	0.398808	-0.889594	0.306654	-0.027576	-0.007505	0.377340	1.231679	0.351160	1.199390	-0.223053	0.171740	-0.047473	-0.058119	0.004538	86.000000	48.000000	1272.000000	-47.000000	-151.000000	-7101.000000	2209.000000	4090.000000	1712.000000	2072.000000	1360.000000	1938.000000	1242.000000	1630.000000
	0.116000	0.019897	0.401775	-0.889594	0.323584	-0.013788	0.002967	0.015184	0.398808	-0.888024	0.306654	-0.026005	-0.006109	0.377340	1.231679	0.351160	1.197994	-0.224275	0.171740	-0.049044	-0.059690	0.004538	65.000000	38.000000	1269.000000	-50.000000	-152.000000	-7097.000000	2212.000000	4090.000000	1710.000000	2072.000000	1363.000000	1940.000000	1242.000000	1629.000000
	0.121000	0.018326	0.401775	-0.889594	0.323584	-0.013788	0.002967	0.015184	0.400204	-0.888024	0.306654	-0.026005	-0.004538	0.378736	1.231679	0.351160	1.197994	-0.222006	0.171740	-0.049044	-0.056723	0.002967	27.000000	109.000000	1179.000000	-50.000000	-151.000000	-7092.000000	2213.000000	4090.000000	1704.000000	2072.000000	1364.000000	1939.000000	1239.000000	1627.000000
	0.126000	0.021468	0.401775	-0.888024	0.323584	-0.013788	0.004538	0.016755	0.398808	-0.888024	0.306654	-0.026005	-0.007505	0.377340	1.231679	0.351160	1.197994	-0.223053	0.171740	-0.047473	-0.058119	0.006109	34.000000	51.000000	1176.000000	-52.000000	-152.000000	-7088.000000	2216.000000	4090.000000	1704.000000	2071.000000	1361.000000	1949.000000	1235.000000	1633.000000
