 time            1           2
   0.00000000E+00  0.16734090E-01 -0.16737854E-01 
   0.99999998E-02  0.16663646E-01 -0.16665706E-01 
   0.20000000E-01  0.16377943E-01 -0.16375547E-01 
   0.29999999E-01  0.15856611E-01 -0.15847992E-01 
   0.39999999E-01  0.15147467E-01 -0.15131299E-01 
   0.49999997E-01  0.14304889E-01 -0.14279813E-01 
   0.59999995E-01  0.13318598E-01 -0.13282642E-01 
   0.69999993E-01  0.12232563E-01 -0.12184553E-01 
   0.79999991E-01  0.11090753E-01 -0.11029748E-01 
   0.89999989E-01  0.99120587E-02 -0.98372633E-02 
   0.99999987E-01  0.87081585E-02 -0.86189313E-02 
   0.10999998E+00  0.74862740E-02 -0.73821163E-02 
   0.11999998E+00  0.62509119E-02 -0.61314306E-02 
   0.12999998E+00  0.50048968E-02 -0.48697591E-02 
   0.13999999E+00  0.37500062E-02 -0.35988973E-02 
   0.14999999E+00  0.24873905E-02 -0.23199713E-02 
   0.16000000E+00  0.12178414E-02 -0.10337139E-02 
   0.17000000E+00 -0.58041609E-04  0.25935916E-03 
   0.18000001E+00 -0.13397573E-02  0.15588467E-02 
   0.19000001E+00 -0.26268573E-02  0.28644060E-02 
   0.20000002E+00 -0.39189281E-02  0.41757259E-02 
   0.21000002E+00 -0.52155876E-02  0.54925177E-02 
   0.22000003E+00 -0.65164878E-02  0.68145115E-02 
   0.23000003E+00 -0.78213224E-02  0.81414590E-02 
   0.24000004E+00 -0.91298288E-02  0.94731376E-02 
   0.25000003E+00 -0.10441797E-01  0.10809355E-01 
   0.26000002E+00 -0.11757066E-01  0.12149954E-01 
   0.27000001E+00 -0.13075527E-01  0.13494810E-01 
   0.28000000E+00 -0.14397118E-01  0.14843835E-01 
   0.28999999E+00 -0.15721824E-01  0.16196975E-01 
   0.29999998E+00 -0.17049663E-01  0.17554210E-01 
   0.30999997E+00 -0.18380689E-01  0.18915549E-01 
   0.31999996E+00 -0.19714981E-01  0.20281022E-01 
   0.32999995E+00 -0.21052631E-01  0.21650683E-01 
   0.33999994E+00 -0.22393746E-01  0.23024593E-01 
   0.34999993E+00 -0.23738433E-01  0.24402825E-01 
   0.35999992E+00 -0.25086798E-01  0.25785452E-01 
   0.36999992E+00 -0.26438935E-01  0.27172539E-01 
   0.37999991E+00 -0.27794931E-01  0.28564150E-01 
   0.38999990E+00 -0.29154850E-01  0.29960325E-01 
   0.39999989E+00 -0.30518742E-01  0.31361096E-01 
   0.40999988E+00 -0.31886626E-01  0.32766465E-01 
   0.41999987E+00 -0.33258505E-01  0.34176417E-01 
   0.42999986E+00 -0.34634355E-01  0.35590913E-01 
   0.43999985E+00 -0.36014117E-01  0.37009880E-01 
   0.44999984E+00 -0.37397720E-01  0.38433224E-01 
   0.45999983E+00 -0.38785052E-01  0.39860822E-01 
   0.46999982E+00 -0.40175986E-01  0.41292530E-01 
   0.47999981E+00 -0.41570362E-01  0.42728167E-01 
   0.48999980E+00 -0.42968009E-01  0.44167541E-01 
   0.49999979E+00 -0.44368718E-01  0.45610428E-01 
   0.50999981E+00 -0.45772269E-01  0.47056586E-01 
   0.51999980E+00 -0.47178414E-01  0.48505757E-01 
   0.52999979E+00 -0.48586890E-01  0.49957659E-01 
   0.53999978E+00 -0.49997419E-01  0.51411998E-01 
   0.54999977E+00 -0.51409699E-01  0.52868467E-01 
   0.55999976E+00 -0.52823421E-01  0.54326739E-01 
   0.56999975E+00 -0.54238256E-01  0.55786479E-01 
   0.57999974E+00 -0.55653863E-01  0.57247348E-01 
   0.58999974E+00 -0.57069890E-01  0.58708988E-01 
   0.59999973E+00 -0.58485977E-01  0.60171034E-01 
   0.60999972E+00 -0.59901748E-01  0.61633117E-01 
   0.61999971E+00 -0.61316818E-01  0.63094862E-01 
   0.62999970E+00 -0.62730797E-01  0.64555876E-01 
   0.63999969E+00 -0.64143293E-01  0.66015773E-01 
   0.64999968E+00 -0.65553881E-01  0.67474157E-01 
   0.65999967E+00 -0.66962153E-01  0.68930604E-01 
   0.66999966E+00 -0.68367682E-01  0.70384711E-01 
   0.67999965E+00 -0.69770038E-01  0.71836062E-01 
   0.68999964E+00 -0.71168788E-01  0.73284216E-01 
   0.69999963E+00 -0.72563469E-01  0.74728735E-01 
   0.70999962E+00 -0.73953629E-01  0.76169170E-01 
   0.71999961E+00 -0.75338811E-01  0.77605069E-01 
   0.72999960E+00 -0.76718539E-01  0.79035960E-01 
   0.73999959E+00 -0.78092329E-01  0.80461375E-01 
   0.74999958E+00 -0.79459704E-01  0.81880808E-01 
   0.75999957E+00 -0.80820158E-01  0.83293773E-01 
   0.76999956E+00 -0.82173184E-01  0.84699757E-01 
   0.77999955E+00 -0.83518282E-01  0.86098239E-01 
   0.78999954E+00 -0.84854916E-01  0.87488681E-01 
   0.79999954E+00 -0.86182572E-01  0.88870548E-01 
   0.80999953E+00 -0.87500714E-01  0.90243280E-01 
   0.81999952E+00 -0.88808790E-01  0.91606319E-01 
   0.82999951E+00 -0.90106264E-01  0.92959091E-01 
   0.83999950E+00 -0.91392577E-01  0.94301015E-01 
   0.84999949E+00 -0.92667170E-01  0.95631503E-01 
   0.85999948E+00 -0.93929499E-01  0.96949950E-01 
   0.86999947E+00 -0.95178984E-01  0.98255768E-01 
   0.87999946E+00 -0.96415065E-01  0.99548340E-01 
   0.88999945E+00 -0.97637184E-01  0.10082705E+00 
   0.89999944E+00 -0.98863244E-01  0.10209577E+00 
   0.90999943E+00 -0.10010586E+00  0.10335761E+00 
   0.91999942E+00 -0.10135184E+00  0.10460813E+00 
   0.92999941E+00 -0.10259670E+00  0.10584493E+00 
   0.93999940E+00 -0.10383900E+00  0.10706697E+00 
   0.94999939E+00 -0.10507815E+00  0.10827376E+00 
   0.95999938E+00 -0.10631371E+00  0.10946485E+00 
   0.96999937E+00 -0.10754513E+00  0.11063971E+00 
   0.97999936E+00 -0.10877175E+00  0.11179774E+00 
   0.98999935E+00 -0.10999288E+00  0.11293828E+00 
   0.99999934E+00 -0.11120784E+00  0.11406070E+00 
   0.10099994E+01 -0.11241591E+00  0.11516435E+00 
   0.10199994E+01 -0.11361641E+00  0.11624859E+00 
   0.10299994E+01 -0.11480865E+00  0.11731278E+00 
   0.10399994E+01 -0.11599194E+00  0.11835627E+00 
   0.10499994E+01 -0.11716560E+00  0.11937840E+00 
   0.10599993E+01 -0.11832900E+00  0.12037854E+00 
   0.10699993E+01 -0.11948147E+00  0.12135603E+00 
   0.10799993E+01 -0.12062237E+00  0.12231024E+00 
   0.10899993E+01 -0.12175111E+00  0.12324054E+00 
   0.10999993E+01 -0.12286707E+00  0.12414628E+00 
   0.11099993E+01 -0.12396966E+00  0.12502685E+00 
   0.11199993E+01 -0.12505831E+00  0.12588166E+00 
   0.11299993E+01 -0.12613244E+00  0.12671009E+00 
   0.11399993E+01 -0.12719151E+00  0.12751158E+00 
   0.11499993E+01 -0.12823500E+00  0.12828551E+00 
   0.11599993E+01 -0.12926233E+00  0.12903139E+00 
   0.11699992E+01 -0.13027300E+00  0.12974866E+00 
   0.11799992E+01 -0.13126647E+00  0.13043678E+00 
   0.11899992E+01 -0.13224226E+00  0.13109526E+00 
   0.11999992E+01 -0.13319981E+00  0.13172361E+00 
